"No.","Time","Source","Destination","Protocol","Length","Info","Tcp Flags","Source MAC Address","Destination MAC","Source IP ARP","Destination IP ARP","Time to live","Flags","Delta time","Frame length"
"365","2025-04-18 19:45:45.160849","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=3590 Ack=14334 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000105000","54"
"366","2025-04-18 19:45:45.160973","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000124000","1494"
"367","2025-04-18 19:45:45.160973","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"368","2025-04-18 19:45:45.160973","104.18.41.183","192.168.1.13","TLSv1.3","1200","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1200"
"369","2025-04-18 19:45:45.161039","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=3590 Ack=18360 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000066000","54"
"370","2025-04-18 19:45:45.161991","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000952000","1494"
"371","2025-04-18 19:45:45.161991","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"372","2025-04-18 19:45:45.161991","104.18.41.183","192.168.1.13","TLSv1.3","321","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","321"
"373","2025-04-18 19:45:45.161991","104.18.41.183","192.168.1.13","TLSv1.3","1445","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1445"
"374","2025-04-18 19:45:45.162107","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=3590 Ack=22898 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000116000","54"
"375","2025-04-18 19:45:45.162480","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000373000","1494"
"376","2025-04-18 19:45:45.162480","104.18.41.183","192.168.1.13","TLSv1.3","1396","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1396"
"377","2025-04-18 19:45:45.162582","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=3590 Ack=25680 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000102000","54"
"378","2025-04-18 19:45:45.164459","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.001877000","1494"
"379","2025-04-18 19:45:45.164459","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"380","2025-04-18 19:45:45.164459","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","1494"
"381","2025-04-18 19:45:45.164589","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=3590 Ack=30000 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000130000","54"
"382","2025-04-18 19:45:45.164793","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000204000","1494"
